Ion;Wavelength;Unc.;Acc.
H;365.665;0.003;AAA
H;365.725;0.003;AAA
H;365.804;0.01;AAA
H;365.865;0.003;AAA
H;365.941;0.003;AAA
H;366.032;0.01;AAA
H;366.127;0.003;AAA
H;366.222;0.01;AAA
H;366.341;0.01;AAA
H;366.465;0.01;AAA
H;366.608;0.003;AAA
H;366.773;0.003;AAA
H;366.945;0.003;AAA
H;367.132;0.01;AAA
H;367.381;0.003;AAA
H;367.6376;0.0006;AAA
H;367.937;0.0006;AAA
H;368.2823;0.0006;AAA
H;368.6831;0.0006;AAA
H;369.1551;0.0006;AAA
H;369.7157;0.0006;AAA
H;370.3859;0.0006;AAA
H;371.1978;0.0006;AAA
H;372.1946;0.0006;AAA
H;373.4369;0.0006;AAA
H;375.0129789;0.0000021;AAA
H;375.0129869;0.0000021;AAA
H;375.0151;0.0006;AAA
H;377.0633;0.0006;AAA
H;379.7874999;0.0000021;AAA
H;379.7909;0.0006;AAA
H;383.5397;0.0006;AAA
H;388.9024865;0.0000021;AAA
H;388.9025154;0.0000021;AAA
H;388.9025933;0.0000021;AAA
H;388.9064;0.0006;AAA
H;397.0075;0.0006;AAA
H;410.1707462;0.0000021;AAA
H;410.1710277;0.0000021;AAA
H;410.1734;0.0006;AAA
H;434.0472;0.0006;AAA
H;486.1283363;0.0000024;AAA
H;486.1286949;0.0000024;AAA
H;486.1296711;0.0000024;AAA
H;486.1297761;0.0000024;AAA
H;486.135;0.005;AAA
H;656.27097;0.000004;AAA
H;656.272483;0.000003;AAA
H;656.277153;0.000003;AAA
H;656.279;0.003;AAA
H;656.285175;0.000007;AAA
H;824.999;0.01;AAA
H;825.229;0.01;AAA
H;825.499;0.01;AAA
H;825.789;0.01;AAA
H;826.089;0.01;AAA
H;826.428;0.003;AAA
H;826.794;0.003;AAA
H;827.194;0.003;AAA
H;827.632;0.003;AAA
H;828.113;0.003;AAA
H;828.642;0.003;AAA
H;829.23;0.003;AAA
H;829.883;0.003;AAA
H;830.61;0.003;AAA
H;831.426;0.003;AAA
H;832.342;0.003;AAA
H;833.378;0.003;AAA
H;834.554;0.003;AAA
H;835.9;0.003;AAA
H;837.448;0.003;AAA
H;839.24;0.003;AAA
H;841.332;0.003;AAA
H;843.795;0.003;AAA
H;846.726;0.003;AAA
H;850.249;0.003;AAA
H;854.538;0.003;AAA
H;859.839;0.003;AAA
H;866.502;0.003;AAA
H;875.046;0.003;AAA
H;886.289;0.01;AAA
H;901.53;0.1;AAA
H;922.97;0.1;AAA
H;954.62;0.1;AAA
H;1 004.98;0.1;AAA
H;1 093.817;0.013;AAA
He I;257.76;0.03;
He I;267.7135;0.001;AAA
He I;267.7135;0.001;AAA
He I;267.7135;0.001;AAA
He I;269.6119;0.001;AAA
He I;269.6119;0.001;AAA
He I;269.6119;0.001;AAA
He I;272.3191;0.001;AAA
He I;272.3191;0.001;AAA
He I;272.3191;0.001;AAA
He I;281.82;0.03;
He I;294.5106;0.001;AAA
He I;294.5106;0.001;AAA
He I;294.5106;0.001;AAA
He I;301.37;0.03;
He I;318.7745;0.001;AAA
He I;318.7745;0.001;AAA
He I;323.1266;0.001;AAA
He I;325.8275;0.001;AAA
He I;355.4415;0.001;AAA
He I;355.4415;0.001;AAA
He I;355.4415;0.001;AAA
He I;355.4415;0.001;AAA
He I;355.4415;0.001;AAA
He I;356.2979;0.001;AAA
He I;356.2979;0.001;AAA
He I;358.727;0.001;AAA
He I;358.727;0.001;AAA
He I;358.727;0.001;AAA
He I;358.727;0.001;AAA
He I;358.727;0.001;AAA
He I;361.3643;0.001;AAA
He I;365.199;0.001;AAA
He I;365.199;0.001;AAA
He I;370.5005;0.001;AAA
He I;370.5005;0.001;AAA
He I;370.5005;0.001;AAA
He I;370.5005;0.001;AAA
He I;370.5005;0.001;AAA
He I;381.96074;0.00008;AAA
He I;381.96074;0.00008;AAA
He I;381.96074;0.00008;AAA
He I;381.96074;0.00008;AAA
He I;381.96074;0.00008;AAA
He I;383.3554;0.001;AAA
He I;387.1791;0.001;AAA
He I;388.8648;0.001;AAA
He I;388.8648;0.001;AAA
He I;393.5912;0.001;AAA
He I;396.47291;0.0001;AAA
He I;402.3973;0.001;AAA
He I;402.61914;0.0001;AAA
He I;402.61914;0.0001;AAA
He I;402.61914;0.0001;AAA
He I;402.61914;0.0001;AAA
He I;402.61914;0.0001;AAA
He I;412.08154;0.00012;AAA
He I;412.08154;0.00012;AAA
He I;414.3761;0.001;AAA
He I;416.8967;0.001;AAA
He I;438.79296;0.00006;AAA
He I;443.7551;0.001;AAA
He I;447.14802;0.00015;AAA
He I;447.14802;0.00015;AAA
He I;447.14802;0.00015;AAA
He I;447.14802;0.00015;AAA
He I;447.14802;0.00015;AAA
He I;471.31457;0.00006;AAA
He I;471.31457;0.00006;AAA
He I;492.19313;0.00005;AAA
He I;501.56783;0.00003;AAA
He I;504.7738;0.001;AAA
He I;587.5621;0.001;AAA
He I;667.8151;0.001;AAA
He I;706.519;0.001;AAA
He I;706.519;0.001;AAA
He I;706.571;0.01;AAA
He I;728.1349;0.001;AAA
He I;921.0337;0.001;AAA
He I;921.0337;0.001;AAA
He I;921.0337;0.001;AAA
He I;921.0337;0.001;AAA
He I;921.0337;0.001;AAA
He I;921.0337;0.001;AAA
He I;952.617;0.01;AAA
He I;952.617;0.01;AAA
He I;952.617;0.01;AAA
He I;952.617;0.01;AAA
He I;952.617;0.01;AAA
He I;952.617;0.01;AAA
He I;952.927;0.01;AAA
He I;1 002.773;0.01;AAA
He I;1 002.773;0.01;AAA
He I;1 002.773;0.01;AAA
He I;1 002.773;0.01;AAA
He I;1 002.773;0.01;AAA
He I;1 002.773;0.01;AAA
He I;1 003.116;0.01;AAA
He I;1 091.292;0.01;AAA
He I;1 091.292;0.01;AAA
He I;1 091.292;0.01;AAA
He I;1 091.292;0.01;AAA
He I;1 091.292;0.01;AAA
He I;1 091.305;0.01;AAA
He I;1 091.710;0.01;AAA
C II;250.9121;0.0007;A
C II;251.1734;0.0007;A
C II;251.2065;0.0007;A
C IV;252.441;0.01;
C IV;252.998;0.01;
C II;253.898;0.002;B
C II;254.039;0.002;B
C II;254.088;0.002;B
C II;254.345;0.006;B
C II;254.345;0.006;B
C II;254.681;0.004;B
C II;254.735;0.006;B
C II;254.735;0.006;B
C II;254.735;0.006;B
C II;255.4478;0.0007;E
C II;255.566;0.002;E
C II;255.612;0.002;E
C II;257.483;0.003;C
C II;257.483;0.003;C
C II;257.483;0.003;C
C I;258.2901;0.0002;C+
C II;259.141;0.0007;B
C II;259.1845;0.0007;B
C II;259.271;0.002;B
C II;260.105;0.002;B
C II;260.142;0.006;B
C II;260.142;0.006;B
C II;260.202;0.002;B
C II;260.239;0.006;B
C II;260.239;0.006;B
C II;260.3161;0.0007;B
C II;260.372;0.002;B
C II;260.4863;0.0007;B
C II;260.562;0.002;B
C II;261.245;0.024;C
C II;261.245;0.024;
C II;262.02;0.003;B
C II;262.29;0.004;B
C II;262.846;0.009;C
C II;264.056;0.005;B
C II;264.056;0.005;B
C II;264.0894;0.0007;B
C II;264.143;0.005;B
C II;264.143;0.005;B
C II;264.2331;0.0007;B
C II;264.3427;0.0007;B
C II;266.996;0.004;D+
C II;266.996;0.004;B
C II;266.996;0.004;D+
C III;269.775;0.01;B
C II;270.84;0.03;
C II;270.84;0.03;C
C II;271.059;0.009;C
C II;271.232;0.009;
C III;272.485;0.01;
C III;272.53;0.01;
C III;272.59;0.01;
C II;272.736;0.004;B
C II;272.8707;0.0007;B+
C II;272.9213;0.0007;B+
C II;273.061;0.002;B
C II;274.6488;0.0014;B
C II;274.7282;0.0018;B
C II;276.512;0.0007;B
C II;276.6118;0.0007;B
C II;276.7673;0.0007;B
C II;279.77;0.004;C
C II;279.915;0.004;C
C II;280.121;0.004;C+
C II;280.121;0.004;C+
C II;280.143;0.004;C+
C II;280.143;0.004;C+
C II;280.239;0.004;C
C II;280.295;0.004;C
C II;280.345;0.004;C
C II;281.913;0.015;
C II;281.913;0.015;
C II;281.913;0.015;
C II;282;0.002;
C II;282;0.002;
C II;282.07;0.015;
C II;282.07;0.015;C
C II;282.07;0.015;
C II;282.154;0.015;C
C II;282.154;0.015;
C II;282.2812;0.0007;C
C II;283.66988;0.00013;B+
C II;283.7596;0.0003;B+
C II;285.8;0.004;
C II;285.8;0.004;
C II;286.106;0.0009;C
C II;288.481;0.005;C
C II;288.481;0.005;C
C II;288.481;0.005;C
C II;288.547;0.005;C+
C II;288.547;0.005;C
C II;288.547;0.005;C+
C I;290.23;0.008;D
C I;290.326;0.008;D
C I;290.495;0.008;D
C II;290.5715;0.0007;B
C II;290.6011;0.0007;B
C II;290.709;0.002;B
C II;290.896;0.005;B
C II;290.896;0.005;B
C II;291.0729;0.0007;B
C I;296.4846;0.0002;D
C II;296.6187;0.0007;B
C II;296.6655;0.0007;B
C II;296.6871;0.0007;B
C I;296.7224;0.0002;D
C II;296.7629;0.0007;B
C II;296.7868;0.0007;B
C II;296.8836;0.0007;B
C II;296.959;0.002;B
C III;298.211;0.01;B
C II;299.262;0.003;B
C II;299.262;0.003;B
C II;299.262;0.003;C
C II;303.9714;0.0009;C
C II;304.0512;0.0009;C
C II;304.869;0.002;C
C II;304.8933;0.0007;C+
C II;304.9398;0.0007;C
C II;304.9671;0.0007;C
C II;305.685;0.024;
C II;305.685;0.024;
C II;305.685;0.024;
C II;305.685;0.024;C
C II;305.845;0.006;C
C II;305.845;0.006;
C II;305.845;0.006;C
C II;305.9091;0.0009;C+
C II;305.983;0.004;C
C II;306.064;0.004;
C II;308.2381;0.0009;B
C II;308.305;0.005;B
C II;308.305;0.005;B
C II;308.305;0.005;B
C II;308.6903;0.0009;C
C II;308.79;0.004;C
C II;310.057;0.0007;E
C II;312.2086;0.0022;B
C II;312.4133;0.0022;B
C II;313.792;0.004;
C II;314.204;0.004;
C II;314.204;0.004;
C II;315.713;0.004;
C II;316.5467;0.0007;B
C II;316.5974;0.0007;B
C II;316.7931;0.0007;B
C II;316.966;0.004;C+
C II;317.003;0.004;C+
C II;317.262;0.009;C
C II;317.458;0.009;C
C II;335.3302;0.0009;C
C II;335.569;0.0009;
C II;335.719;0.004;
C II;336.0891;0.0007;B
C II;336.1051;0.0007;B
C II;336.1721;0.0007;B
C II;339.2146;0.0007;C
C II;339.3946;0.0007;C
C II;340.153;0.009;C
C II;340.366;0.004;
C II;340.366;0.004;
C II;340.433;0.004;C
C II;340.6361;0.0022;
C I;342.0405;0.0005;
